time,text,user,rts,place,lon,lat
2019-01-20 16:33:41,b'@JorBaeBel @libtv_ fijate que prefiero la foto con Le Pen que con Otegui. En cualquier caso VOX no esta exento de n\xe2\x80\xa6 https://t.co/Uwc2EcL1mC',b'Semper Augustus',0,NaN,40.432,-3.708
2019-01-20 14:12:21,"b'@balbonreinosa @trecet No aprendemos, despues de ver a Trump, a VOX en Andalucia, Marine Le Pen, da lo mismo, damos\xe2\x80\xa6 https://t.co/zgEDL2RyLe'",b'Fernando Lorenzo',0,NaN,40.432,-3.708
2019-01-19 23:04:34,b'RT @Angelmartgar: En @elconfidencial: La crisis de Francia en un acto: blindaje a Macron en un pueblo de 3.500 personas https://t.co/Egtphs\xe2\x80\xa6',b'rob',1,NaN,40.432,-3.708
2019-01-19 22:40:55,b'Como se habla continuamente de populismo y se asocia con Le Pen @alvaromartinbcs @jzuazola y otros partidos equival\xe2\x80\xa6 https://t.co/1ySdygb1au',b'Jose R. Molina',0,NaN,40.432,-3.708
2019-01-19 17:33:27,"b'RT @cuartopoder: Las izquierdas despu\xc3\xa9s de Vox, Le Pen y Salvini: \xc2\xbfc\xc3\xb3mo hacer frente a la extrema derecha? https://t.co/6ECEzCxyYy\n\nLas ref\xe2\x80\xa6'",b'Madame Butterfly',9,NaN,40.432,-3.708
2019-01-19 16:53:10,b'Lo intento una vez. Nada. Le doy la vuelta a la tarjeta (todos sabemos que los pen drives entran as\xc3\xad). Tampoco. Le\xe2\x80\xa6 https://t.co/9wXgV89Wzb',b'N\xc3\xa9stor (\xce\xb7\xce\xb5\xd1\x85\xd1\x82)',0,NaN,40.432,-3.708
2019-01-19 11:18:51,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'Ander',18,NaN,40.432,-3.708
2019-01-19 03:34:47,b'@yagopu @AngelesRendn1 Le Pen 2',b'jesus',0,NaN,40.432,-3.708
2019-01-18 21:11:39,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'Ulises',18,NaN,40.432,-3.708
2019-01-18 18:51:00,"b'Despu\xc3\xa9s del experimento Macrorr\xc3\xb3nico vuelve la derecha tradicional, con permiso de la Le Pen, claro. https://t.co/ePGdJc4Dag'",b'fernando Dutilh',0,NaN,40.432,-3.708
2019-01-18 16:18:30,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'Fernando',18,NaN,40.432,-3.708
2019-01-18 08:50:37,"b'@imanolrh Escucha estoy en Par\xc3\xads, aqu\xc3\xad no se habla de facha ni si votas a Le Pen, yo no retrocedo, estoy al d\xc3\xada de\xe2\x80\xa6 https://t.co/ceJ2j52TSa'",b'\xc3\x81ngel',0,NaN,40.432,-3.708
2019-01-17 23:47:34,b'@AlvaroLario El mismo que estaba a favor Marine Le Pen?',b'M.\xc2\xb7. M.\xc2\xb7.',0,NaN,40.432,-3.708
2019-01-17 23:16:07,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'Del Monte Humberto',18,NaN,40.432,-3.708
2019-01-17 17:48:28,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'Tercios Coslada',18,NaN,40.432,-3.708
2019-01-17 16:03:23,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'Elizabeth_B\xc3\xa1thory',18,NaN,40.432,-3.708
2019-01-17 15:34:44,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'Erika Rojas',18,NaN,40.432,-3.708
2019-01-17 15:33:52,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'Zairet Gonz\xc3\xa1lez R',18,NaN,40.432,-3.708
2019-01-17 15:28:03,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'Pili bu',18,NaN,40.432,-3.708
2019-01-17 15:27:28,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'D. Law',18,NaN,40.432,-3.708
2019-01-17 15:25:03,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'Ricardo',18,NaN,40.432,-3.708
2019-01-17 15:23:22,b'El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/uqoWEklfdB v\xc3\xada @EFEnoticias #Francia',b'Wikerman Alejo',0,NaN,40.432,-3.708
2019-01-17 15:22:27,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'Miguel Carranza',18,NaN,40.432,-3.708
2019-01-17 15:20:31,b'RT @EFEnoticias: El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'Xanthis Su\xc3\xa1rez',18,NaN,40.432,-3.708
2019-01-17 15:18:51,b'El partido de Le Pen abandona la idea de que Francia salga del euro https://t.co/5SoTDscdpt',b'EFE Noticias',18,NaN,40.432,-3.708
